affected_flow_count,affected_flow_ids,affected_flow_ratio,endpoint_a,endpoint_b,fault_id,healthy_route_use_count,internal_switch_link,p0_used,p0_used_direction_count,physical_link_id,quantile_bin,scenario_id
4,"['TT0031', 'TT0070', 'TT0071', 'TT0110']",0.02,sw0019,sw0020,l_sw0019_sw0020,4,True,True,4,l_sw0019_sw0020,1,S2
4,"['TT0033', 'TT0072', 'TT0073', 'TT0112']",0.02,sw0022,sw0023,l_sw0022_sw0023,4,True,True,4,l_sw0022_sw0023,1,S2
4,"['TT0035', 'TT0074', 'TT0075', 'TT0114']",0.02,sw0025,sw0026,l_sw0025_sw0026,4,True,True,4,l_sw0025_sw0026,1,S2
4,"['TT0039', 'TT0078', 'TT0079', 'TT0118']",0.02,sw0031,sw0032,l_sw0031_sw0032,4,True,True,4,l_sw0031_sw0032,1,S2
4,"['TT0007', 'TT0046', 'TT0047', 'TT0086']",0.02,sw0043,sw0044,l_sw0043_sw0044,4,True,True,4,l_sw0043_sw0044,1,S2
4,"['TT0009', 'TT0048', 'TT0049', 'TT0088']",0.02,sw0046,sw0047,l_sw0046_sw0047,4,True,True,4,l_sw0046_sw0047,1,S2
4,"['TT0013', 'TT0052', 'TT0053', 'TT0092']",0.02,sw0052,sw0053,l_sw0052_sw0053,4,True,True,4,l_sw0052_sw0053,1,S2
4,"['TT0017', 'TT0056', 'TT0057', 'TT0096']",0.02,sw0058,sw0059,l_sw0058_sw0059,4,True,True,4,l_sw0058_sw0059,1,S2
5,"['TT0011', 'TT0050', 'TT0051', 'TT0090', 'TT0163']",0.025,sw0049,sw0050,l_sw0049_sw0050,5,True,True,5,l_sw0049_sw0050,1,S2
6,"['TT0005', 'TT0044', 'TT0045', 'TT0080', 'TT0084', 'TT0120']",0.03,sw0040,sw0041,l_sw0040_sw0041,6,True,True,6,l_sw0040_sw0041,1,S2
9,"['TT0015', 'TT0042', 'TT0054', 'TT0055', 'TT0059', 'TT0082', 'TT0094', 'TT0098', 'TT0175']",0.045,sw0001,sw0002,l_sw0001_sw0002,9,True,True,9,l_sw0001_sw0002,1,S2
