absolute_shift_ns,absolute_shift_ticks,changed,flow_id,flow_kind,new_release_ticks,original_collision_degree,original_release_ticks,period_ticks,relative_shift_over_period,scale,source,source_egress,tx_ticks
1000,10,True,CMD_PLC_C09_M02_A4_C09_M02,ControlCommand,421,1,431,5000,0.002,L,PLC_C09_M02,PLC_C09_M02,11
0,0,False,CMD_PLC_C09_M03_A1_C09_M03,ControlCommand,368,0,368,5000,0.0,L,PLC_C09_M03,PLC_C09_M03,11
0,0,False,CMD_PLC_C09_M03_A2_C09_M03,ControlCommand,475,0,475,5000,0.0,L,PLC_C09_M03,PLC_C09_M03,11
0,0,False,CMD_PLC_C09_M03_A3_C09_M03,ControlCommand,288,0,288,5000,0.0,L,PLC_C09_M03,PLC_C09_M03,11
0,0,False,CMD_PLC_C09_M03_A4_C09_M03,ControlCommand,729,0,729,5000,0.0,L,PLC_C09_M03,PLC_C09_M03,11
0,0,False,CMD_PLC_C09_M04_A1_C09_M04,ControlCommand,239,0,239,5000,0.0,L,PLC_C09_M04,PLC_C09_M04,11
0,0,False,CMD_PLC_C09_M04_A2_C09_M04,ControlCommand,483,0,483,5000,0.0,L,PLC_C09_M04,PLC_C09_M04,11
0,0,False,CMD_PLC_C09_M04_A3_C09_M04,ControlCommand,868,0,868,5000,0.0,L,PLC_C09_M04,PLC_C09_M04,11
0,0,False,CMD_PLC_C09_M04_A4_C09_M04,ControlCommand,80,0,80,5000,0.0,L,PLC_C09_M04,PLC_C09_M04,11
0,0,False,CMD_PLC_C10_M01_A1_C10_M01,ControlCommand,967,0,967,5000,0.0,L,PLC_C10_M01,PLC_C10_M01,11
0,0,False,CMD_PLC_C10_M01_A2_C10_M01,ControlCommand,411,0,411,5000,0.0,L,PLC_C10_M01,PLC_C10_M01,11
0,0,False,CMD_PLC_C10_M01_A3_C10_M01,ControlCommand,148,0,148,5000,0.0,L,PLC_C10_M01,PLC_C10_M01,11
0,0,False,CMD_PLC_C10_M01_A4_C10_M01,ControlCommand,918,0,918,5000,0.0,L,PLC_C10_M01,PLC_C10_M01,11
0,0,False,CMD_PLC_C10_M02_A1_C10_M02,ControlCommand,981,0,981,5000,0.0,L,PLC_C10_M02,PLC_C10_M02,11
0,0,False,CMD_PLC_C10_M02_A2_C10_M02,ControlCommand,171,0,171,5000,0.0,L,PLC_C10_M02,PLC_C10_M02,11
0,0,False,CMD_PLC_C10_M02_A3_C10_M02,ControlCommand,6,0,6,5000,0.0,L,PLC_C10_M02,PLC_C10_M02,11
0,0,False,CMD_PLC_C10_M02_A4_C10_M02,ControlCommand,661,0,661,5000,0.0,L,PLC_C10_M02,PLC_C10_M02,11
0,0,False,CMD_PLC_C10_M03_A1_C10_M03,ControlCommand,440,0,440,5000,0.0,L,PLC_C10_M03,PLC_C10_M03,11
0,0,False,CMD_PLC_C10_M03_A2_C10_M03,ControlCommand,524,0,524,5000,0.0,L,PLC_C10_M03,PLC_C10_M03,11
0,0,False,CMD_PLC_C10_M03_A3_C10_M03,ControlCommand,237,0,237,5000,0.0,L,PLC_C10_M03,PLC_C10_M03,11
0,0,False,CMD_PLC_C10_M03_A4_C10_M03,ControlCommand,751,0,751,5000,0.0,L,PLC_C10_M03,PLC_C10_M03,11
0,0,False,CMD_PLC_C10_M04_A1_C10_M04,ControlCommand,184,0,184,5000,0.0,L,PLC_C10_M04,PLC_C10_M04,11
0,0,False,CMD_PLC_C10_M04_A2_C10_M04,ControlCommand,762,0,762,5000,0.0,L,PLC_C10_M04,PLC_C10_M04,11
0,0,False,CMD_PLC_C10_M04_A3_C10_M04,ControlCommand,709,0,709,5000,0.0,L,PLC_C10_M04,PLC_C10_M04,11
0,0,False,CMD_PLC_C10_M04_A4_C10_M04,ControlCommand,937,0,937,5000,0.0,L,PLC_C10_M04,PLC_C10_M04,11
0,0,False,CMD_PLC_C11_M01_A1_C11_M01,ControlCommand,104,0,104,5000,0.0,L,PLC_C11_M01,PLC_C11_M01,11
0,0,False,CMD_PLC_C11_M01_A2_C11_M01,ControlCommand,202,0,202,5000,0.0,L,PLC_C11_M01,PLC_C11_M01,11
0,0,False,CMD_PLC_C11_M01_A3_C11_M01,ControlCommand,705,0,705,5000,0.0,L,PLC_C11_M01,PLC_C11_M01,11
0,0,False,CMD_PLC_C11_M01_A4_C11_M01,ControlCommand,724,0,724,5000,0.0,L,PLC_C11_M01,PLC_C11_M01,11
0,0,False,CMD_PLC_C11_M02_A1_C11_M02,ControlCommand,36,0,36,5000,0.0,L,PLC_C11_M02,PLC_C11_M02,11
0,0,False,CMD_PLC_C11_M02_A2_C11_M02,ControlCommand,234,0,234,5000,0.0,L,PLC_C11_M02,PLC_C11_M02,11
0,0,False,CMD_PLC_C11_M02_A3_C11_M02,ControlCommand,253,0,253,5000,0.0,L,PLC_C11_M02,PLC_C11_M02,11
0,0,False,CMD_PLC_C11_M02_A4_C11_M02,ControlCommand,704,0,704,5000,0.0,L,PLC_C11_M02,PLC_C11_M02,11
0,0,False,CMD_PLC_C11_M03_A1_C11_M03,ControlCommand,527,0,527,5000,0.0,L,PLC_C11_M03,PLC_C11_M03,11
0,0,False,CMD_PLC_C11_M03_A2_C11_M03,ControlCommand,510,0,510,5000,0.0,L,PLC_C11_M03,PLC_C11_M03,11
0,0,False,CMD_PLC_C11_M03_A3_C11_M03,ControlCommand,710,0,710,5000,0.0,L,PLC_C11_M03,PLC_C11_M03,11
0,0,False,CMD_PLC_C11_M03_A4_C11_M03,ControlCommand,540,0,540,5000,0.0,L,PLC_C11_M03,PLC_C11_M03,11
