level,connectivity_margin_mean,connectivity_margin_min,fault_id,graph_connected,profile_bytes,raw_status,recovery_hop_count,recovery_route_hash,semantic_profile_hash,smt_solver_wall_us,status,affected_flow_count
R1_CURRENT,2,2,l_sw27_sw35,True,62393,SAT,240,04f5f401c08e9703c676f9914025d0d62631ecf4a8efb35e661b4744b4724821,9347aeda103f1f40425b8fcf8addd67406155f31985041db7f6cbe84e8c1857e,678650.5160000001,SAT,4
R1_CURRENT,2,2,l_sw29_sw37,True,62456,SAT,240,3e3cbecaa130ee85d9d4ca808494b1bbd76202533ea1d087e7980122e3a68b5a,94199e4ee8591eb4b8ac368789562ce0727cb3b4d1c477a5a30ae06b75ce2c1e,681352.477,SAT,4
R1_CURRENT,2,2,l_sw31_sw39,True,60992,SAT,238,5722b700bcd682bfc99501a9e1682810e38653e058cf7b61b43d8679bae174af,dbf9ca89664c1940b005fdc97eb90f0142f48cfad5063a02a4de3e76337057da,677458.613,SAT,4
R2_D4,2.75,2,l_sw01_sw02,True,56592,SAT,224,aae2731ec2ceb84bc235c2905844dbe4dcf2f2469d05a6aef8f0c60fe46bb8d6,c682a868f569cef1f9a78ab03f8db0b3b79cf0506dc51616955b0a0ed9786ef5,606987.693,SAT,4
R2_D4,2.75,2,l_sw01_sw09,True,59487,SAT,234,5a13815363fda59aa6032a9192209aa9044fc39f9065b93d9a44ea57186f1e1c,1be5a715e83eff42ad8e6fd3ce516699bc4971212e4aa32129c60494d4176d1e,653228.39,SAT,4
R2_D4,3,2,l_sw02_sw03,True,57216,SAT,224,64a49c1d1a4b035e3a3448257f8acd256ccbf22d08bec51457022cd97af39cee,215f95b349f5b82ef2167da71bf4fab2688c69d6b3f9c92f8e966174f1419c26,589665.833,SAT,4
R2_D4,3.25,2,l_sw03_sw04,True,56641,SAT,226,a8c68ad2869881c222d63c6141971fa68018958effc197ab2f56db9db2e20422,258d7de431aeab58772671e1a4a31c55c0c993bcd91e765731df6d42e0639398,600175.403,SAT,4
R2_D4,2.75,2,l_sw03_sw11,True,60180,SAT,238,9971b114ea958962da52fa42895b58b2bf987c038d77fedaaa507ad45e9b57a0,70896423888ca3d3460647c1f35ec6f71326d20371f1079f4d6823914f282cce,674848.0430000001,SAT,4
R2_D4,3.25,3,l_sw04_sw05,True,56654,SAT,226,6ed934ef500b5f8391b0bea275c26ce910adcf7beaaa6450602cdc6144f345c7,9c6e440ef9f2cc83a49c66f500ab302d11bf5cd3037371858b8ca2d42ecfcf73,598717.7999999999,SAT,4
R2_D4,3.5,3,l_sw05_sw06,True,56655,SAT,224,1429eebd62d89721b6d78fbc5bd34d33cb18ae83070b2b2e00dbd2267a2d29cf,de297f0e7a49f0359aefc7a048901a3a2ddd826e2bead99fc7439650e1a7350e,582162.9149999999,SAT,4
R2_D4,3.25,3,l_sw05_sw13,True,60394,SAT,240,67db11cfad4bc49742c8e521cbf260a8aeab6e4afefaf8184f5075a48243f8de,fdf89a5c808e6796f35923b84daea13e2febbf9c6bd005d9f1ba8ef5545d3254,679219.267,SAT,4
R2_D4,3.25,3,l_sw06_sw07,True,56100,SAT,224,6de51d9937d0616b3e5889f4a5cdb4c584f68d73204dbd19fe879f96d1a2d8d5,7999e20a822d9a8201b43b2cae0f775f85ac7e6bd529add50cf31f7d6f7877da,579885.469,SAT,4
R2_D4,3.25,3,l_sw07_sw15,True,60081,SAT,232,f4235bc70b1f38be37a9cd72f40333874767591fdc62112e307efcd82d7ad551,cf7835063c0949eb3db2029e1fa4528822a6b195a0ac2f980152185ac92d1688,625940.8520000001,SAT,4
R2_D4,2.5,2,l_sw09_sw10,True,,FORWARDING_CONFLICT,,,,578557.358,FORWARDING_CONFLICT,4
R2_D4,2.875,2,l_sw09_sw17,True,58946,SAT,230,a26d635fc862ff98417ead08560693a9ef6d15a33f23dabbc5e96ce353b5060b,21fa8b692d09cc21adf2ad746cfcf3653dbef976d0557ed7e7ea3081db157f5e,607379.713,SAT,8
R2_D4,3,3,l_sw10_sw11,True,,FORWARDING_CONFLICT,,,,578788.268,FORWARDING_CONFLICT,4
R2_D4,3.5,3,l_sw11_sw12,True,56077,SAT,223,be23a7f4108feef5536d74d02747a9d25c29d688fafab50339daeae36f55b6cf,a7ca73ab8821cf2430fe4d3606a189c1c9dd7eafd0f4db0b12ff93abfdccaa05,571523.875,SAT,4
R2_D4,3.5,3,l_sw11_sw19,True,61503,SAT,243,a4a135cdebe3d217eae884a7201409888f728adefbde06217da86d541d513315,28f8461387a0e1616eba650dfce6bb6c655665325d0d3259c8aea443423552ef,693803.129,SAT,8
R2_D4,3.5,3,l_sw12_sw13,True,56077,SAT,223,be23a7f4108feef5536d74d02747a9d25c29d688fafab50339daeae36f55b6cf,a7ca73ab8821cf2430fe4d3606a189c1c9dd7eafd0f4db0b12ff93abfdccaa05,565683.012,SAT,4
R2_D4,3.25,3,l_sw13_sw14,True,56307,SAT,226,345f20bfd9da26b846bb749c08f2567d884b1eab79aa40878ede027dee2c2c31,02a4081cad7bcb6cfb99c32d16c81dba3fc3ca4a7ca08c9bec2172e2a497aa48,587024.146,SAT,4
R2_D4,3.625,3,l_sw13_sw21,True,61489,SAT,242,12c634b4c74591cd44ab56d902ee9eed511a43f29a55e7e516c5382695a8ff56,171c980f8239fab20ba0164b8b46e55c6bae43172fec68294334d5d595becabf,684028.046,SAT,8
R2_D4,3.5,3,l_sw14_sw15,True,56307,SAT,226,345f20bfd9da26b846bb749c08f2567d884b1eab79aa40878ede027dee2c2c31,02a4081cad7bcb6cfb99c32d16c81dba3fc3ca4a7ca08c9bec2172e2a497aa48,586016.934,SAT,4
R2_D4,3.625,3,l_sw15_sw23,True,60900,SAT,234,5da98f072d634a77a690510f3f44a9818c64427a727ec38f6ade8311bcbd3ed1,0e8890cc796c2c4dfcd65cc4c8962ae6f08d94f1fa572ef03e924d5b2194290f,632476.9260000001,SAT,8
R2_D4,3,3,l_sw17_sw18,True,,FORWARDING_CONFLICT,,,,630467.981,FORWARDING_CONFLICT,2
R2_D4,3,3,l_sw17_sw25,True,59212,SAT,223,b82f5fc635936ddc2c554b892bb8b0e1acf43efdc50e8dce60a8ee117452adf1,a4e03e9dba5e8844a90a19c21257f589f8520bb66bba9d6fe17fb12c32d153c4,816232.301,SAT,8
R2_D4,3.5,3,l_sw18_sw19,True,,FORWARDING_CONFLICT,,,,633045.304,FORWARDING_CONFLICT,2
R2_D4,3.5,3,l_sw19_sw20,True,56886,SAT,230,0f55bf81e63c8b135a5537a6223ec556dd7a1b07c76ada6c72d76f7ab36bc79b,c82d8a735c5ae1e275c9962a647de490e41fc99c3c3131542b40c619304f694f,625708.0310000001,SAT,2
R2_D4,3.5,3,l_sw19_sw27,True,,FORWARDING_CONFLICT,,,,666323.224,FORWARDING_CONFLICT,8
R2_D4,3.5,3,l_sw20_sw21,True,56856,SAT,230,0f55bf81e63c8b135a5537a6223ec556dd7a1b07c76ada6c72d76f7ab36bc79b,c82d8a735c5ae1e275c9962a647de490e41fc99c3c3131542b40c619304f694f,630768.297,SAT,2
R2_D4,3,3,l_sw21_sw22,True,57424,SAT,232,7f990985da678c06e57ed4a26dd8e5c89646347133aa2736ecffb81d9a52ee16,dc003c5cfaea26df4871b178cfbdf5a28758b7aad7f631f7a819bc4b31565f34,639135.757,SAT,2
R2_D4,3.875,3,l_sw21_sw29,True,60138,SAT,240,2e15f2a7dbda3efa6e41ec45c2d9fcd7b2141aa9af019afdfc2b922cae2ca581,7916994d22107062f5a1cde8e9c258bdf6d5b29cb110fb8cb68a6fd6b16ab8a9,677196.524,SAT,8
R2_D4,3,3,l_sw22_sw23,True,57709,SAT,232,21ed713a1a6fc169b97254559d6ab334c796a0bfcc5f0656ce59222ff01e9664,932094a09f1387faedbf4ef7be08b2fa14ca12277069c97ebb3cc1261e0864aa,639714.178,SAT,2
R2_D4,3,3,l_sw23_sw31,True,61092,SAT,237,17a757e08cb623f4219424d9a381ab35e9d79394b617d6a3dac37a4c7e54588d,21e82cfa14aeaf2c1b57b2ff44064fe2a13a918a3b5d9c40eecfcf7f680c98e7,652990.4130000001,SAT,8
R2_D4,2,2,l_sw25_sw33,True,58849,SAT,228,d851456c3e2bc596b70f63f03b75f7b49df2deeee2ef8aff329e5d3fc1575f14,f17f1aa0ae4a04074905bd9845f295fadaf476da1eb1b430aabeaafb731ffe6f,591274.457,SAT,4
R2_D4,3,3,l_sw27_sw35,True,,FORWARDING_CONFLICT,,,,642385.7640000001,FORWARDING_CONFLICT,4
R2_D4,3,3,l_sw29_sw37,True,62304,SAT,239,a664f929e671fe7653b4cf4b1405f6d8dfecf3f71bab366d88f44318cc60bbcf,61ae328846c8350a2c3fa8f81ee8bab09e7105fdfda3f1b55a3916d6fe5d94b4,659774.546,SAT,4
R2_D4,2,2,l_sw31_sw39,True,61378,SAT,237,b195e646c12c2b7cbf6767c40f1d39addcfa843190a2692670f28877e63e59d0,76cc811f8cfb3b216955e52764f074344de52691855f4afd4fa464598836b52e,643743.912,SAT,4
R3_D5,4.5,4,l_sw01_sw02,True,,FORWARDING_CONFLICT,,,,580654.149,FORWARDING_CONFLICT,4
R3_D5,4.5,4,l_sw01_sw09,True,,FORWARDING_CONFLICT,,,,888939.262,FORWARDING_CONFLICT,4
R3_D5,4.75,4,l_sw02_sw03,True,,FORWARDING_CONFLICT,,,,563415.713,FORWARDING_CONFLICT,4
R3_D5,4.75,4,l_sw03_sw04,True,,FORWARDING_CONFLICT,,,,572896.054,FORWARDING_CONFLICT,4
