affected_flow_count,affected_set_key,fault_count,fault_ids,scenario,selected_by_mode
8,89241544c60df46663b462c50d5b5a2c0e3fa3952b8e68d5d3bffeae8f8ee7ca,1,l_SW_C03_CC_SW_C03_CORE_A,M_REDSTAR,True
6,8a102b64ba0fe255abfaabad3dd4864795f37fc52ef44f0e054687221f74a35e,1,l_SW_C05_CORE_A_SW_C05_M02_CTRL,M_REDSTAR,True
2,8c89abedc773be6d2f5d0990f353dc392c7a1ad411984894213367233b2a10a0,2,l_SW_C07_CC_SW_C07_CORE_B;l_SW_C07_CORE_B_SW_FACTORY_CORE_B,M_REDSTAR,True
6,8f28aabbff9ceddc9c2c28e6ccb5857838e4714d3a6701f09662873cb6967318,1,l_SW_C02_CORE_A_SW_C02_M02_CTRL,M_REDSTAR,True
6,8f8ce21130f9db1ab943fe577ab301d602261702397a8441479aae7c81659fb5,1,l_SW_C08_CORE_A_SW_C08_M03_CTRL,M_REDSTAR,True
6,9244efc0f9e014ce8134f26fe31edddca7e67ff5794f258ca2e3f05dad8640df,1,l_SW_C03_CORE_A_SW_C03_M03_CTRL,M_REDSTAR,True
8,926007236aad944222bb8dae7eec9f844bfa378e71de78c6e1d1b47ac79ea3e7,2,l_SW_C08_CORE_B_SW_C08_M01_CTRL;l_SW_C08_CORE_B_SW_C08_M01_SENS,M_REDSTAR,True
2,92f06579a6d701dc4b9aea1b0fe66a7a7cd3d6f72488194b796d2141dd9ffbcc,2,l_SW_C04_CC_SW_C04_CORE_B;l_SW_C04_CORE_B_SW_FACTORY_CORE_B,M_REDSTAR,True
2,931c02da9131a7f9570089174fb7bcb75702c69507c3d5b8235af58ce3fd1af2,1,l_SW_C05_CORE_A_SW_FACTORY_CORE_B,M_REDSTAR,True
2,98d741572c512e614490142678dc0b4ec2e157c05a45bbe6441c4c446abe25f9,1,l_SW_C01_CORE_A_SW_FACTORY_CORE_B,M_REDSTAR,True
4,9ada58fd97b7975b164773394442552f693c9f5f4c2eee1a905b900a247f89a2,1,l_SW_C03_CORE_A_SW_C03_M02_ACT,M_REDSTAR,True
6,9b51f613eb07bad34247c60343eeb6dfe113ffd6b1c7d1dde25f806678cae29e,1,l_SW_C05_CORE_A_SW_C05_M03_CTRL,M_REDSTAR,True
