affected_set_key,fault_ids,group_id,group_size,profile,scenario
3520a32d44f255e40d305560709c376e27c24134960240bf8e24eb8dcd334efb,l_SW_C11_CORE_A_SW_C11_M04_CTRL,FG_2ead2f0f4aa620df36767d43d4c395cadc8edcba429c28fe09109a8e0a493d5b,1,False,L_REDSTAR
36e6ce5cf17dc8b2c327bc43a5728141a7a59b31f9b7e42417a7dde0b057d002,l_SW_C09_CC_SW_C09_CORE_B;l_SW_C09_CORE_B_SW_FACTORY_CORE_A,FG_d464d55014173b7b9acf153244aa9095bf2d608d923fda11544df7bba0499d9e,2,True,L_REDSTAR
375ed0ddbe0f462945f03a7fbcd668277027fecbc9271afdf7de80c20ef9c791,l_SW_C08_CORE_A_SW_C08_M02_CTRL,FG_d28e5376c99f1646e085a266945023aa3d2c44a6e08d2d4d3bff4c70513e9cd8,1,False,L_REDSTAR
391be1c388c6d427b507a4bd8cf69c166c5140a60281691c8ac32196ca887545,l_SW_C02_CORE_A_SW_C02_M03_ACT,FG_ce7ba8a81417f2ba00e77ee307aab1f473da6f6043cc1434a5d2cc755ae1d232,1,False,L_REDSTAR
3ac051cce19d80b7ad9f402bc12fe85e25089e084515192224c100169737aac6,l_SW_C16_CORE_B_SW_C16_M01_CTRL;l_SW_C16_CORE_B_SW_C16_M01_SENS,FG_a3215573057f8f92eef03fc67ce0534f2e750e48bdd75ab4bb00d61ff4bd388c,2,True,L_REDSTAR
3aefb4dca623fae7fe94388156643f4fc20de9fbbace988a99d9326beba206f8,l_SW_C03_CC_SW_C03_CORE_A,FG_05d493ad95d89fce651e6e999297b1fe5f7edc045f165e909b4c8a681b9c551e,1,False,L_REDSTAR
3b33b74dc911a40377f4e44a801e98b6bae32b7f692a965d3e4b27baf137ad74,l_SW_C04_CORE_B_SW_C04_M04_CTRL;l_SW_C04_CORE_B_SW_C04_M04_SENS,FG_465868e777150b05bf6950787deb07d4080283d4124188dd61e95c17c5ec8a96,2,True,L_REDSTAR
3b6de2c04361eaa8440329fa23e0774fc8b84873dbd27377313009358c1251b6,l_SW_C09_CORE_A_SW_C09_M04_CTRL,FG_14058660fb17ff797542aca210fa21b746608977dae542242c11283dbfb47820,1,False,L_REDSTAR
3d51b1e2271231b9e5049a70391325db3a24acb689d7da715f23385efddda09c,l_SW_C03_CORE_B_SW_C03_M01_CTRL;l_SW_C03_CORE_B_SW_C03_M01_SENS,FG_3342a1f7b7d67daef021451740e0720499d8b591b3a5bada6d9d89ca50af641c,2,True,L_REDSTAR
3d8480651ea23530d27784885dc249416208178653c51624bbf33516518a46e1,l_SW_C09_CORE_A_SW_FACTORY_CORE_A,FG_16d0b5401910b6d0ef534ad05bcded213345da34ded0be1ab467f4117bfd74b9,1,False,L_REDSTAR
3e529939a7506949ab96b56276d90e645efa618e7e2a8eefa270a824e0c94495,l_SW_C04_CORE_B_SW_C04_M01_CTRL;l_SW_C04_CORE_B_SW_C04_M01_SENS,FG_25f4f7a172c60c26f4b799ed069335a9d462b4d5e62c9aaabdd168ddb50ffef8,2,True,L_REDSTAR
3f8f3c42a32d9c291483f7fa83fa2fa0f4726c044e55cb5487c9383dd6670318,l_SW_C12_CORE_B_SW_C12_M03_CTRL;l_SW_C12_CORE_B_SW_C12_M03_SENS,FG_cf6822860e6eb698ffc692e46d982ee4f565e1ab87dedfbf0aba4fc595638e59,2,True,L_REDSTAR
3fd2f4a7f41bf9aba473048eb5b8b3880b4cdbbf085d059eec9cca38869d1d72,l_SW_C09_CORE_A_SW_C09_M03_ACT,FG_d2b0cc232a40275d0478dc039c8a46b5b72bcdb9bf3844699280b96188a6e82a,1,False,L_REDSTAR
3fdda915a03fd0be95f11784dc5888085bec961aa07e014feda1d74249b0bcb9,l_SW_C05_CORE_B_SW_C05_M03_CTRL;l_SW_C05_CORE_B_SW_C05_M03_SENS,FG_bd5a37e20eba9ad2c3b291aca70ec346bcc61fc45614ec29a6734963c6ca6c90,2,True,L_REDSTAR
40f7bc0cdbba92073bf8bfc7737a1bfceafb319c714eb3779b8de6105a2ab1f8,l_SW_C08_CC_SW_C08_CORE_B;l_SW_C08_CORE_B_SW_FACTORY_CORE_A,FG_b0bb29a1d3584afcb9a6e8921081bcbb0464ed3b73d6466de5167aec308b3eb2,2,True,L_REDSTAR
413a2ee51cfe4ca156e8f8a7de3e05e95f2d0d393e578644f81abcfe3f44e175,l_SW_C09_CORE_B_SW_C09_M01_CTRL;l_SW_C09_CORE_B_SW_C09_M01_SENS,FG_cc57c543f0c9170cfb595fa57dc04f7394b2366fc49590b591b026a0dd76da43,2,True,L_REDSTAR
420bc6d6b696fc343d0a29025004d85536457efa7fe7185fa3539bb44673426b,l_SW_C13_CC_SW_C13_CORE_B;l_SW_C13_CORE_B_SW_FACTORY_CORE_A,FG_cc3c9d0e29e48df6bfe1b34c3b762a45a6e284530f9d82338db8834f490e1f1d,2,True,L_REDSTAR
42ae7d34080e836c120bcf60dd6aa068a416d90d1ffe4df1306aa2a46c6279ae,l_SW_C11_CC_SW_C11_CORE_B;l_SW_C11_CORE_B_SW_FACTORY_CORE_A,FG_63c2a64d8b1729125068a4ab606b9c2e1ebda29432e85defd597f01c4e07e8c9,2,True,L_REDSTAR
44e162083a19678e54b083329ad16b66967cd2762d4820c56d4ab1ec36db3b43,l_SW_C12_CORE_A_SW_C12_M03_CTRL,FG_921e5492b5eb1ad867ce609d305c79334165280df1468efcf594dd7177c718f1,1,False,L_REDSTAR
4527f2b2b4097ef04a5be3d9180522c63f6564157ed72208e05634c4c9294244,l_SW_C07_CORE_A_SW_FACTORY_CORE_A,FG_67e1d5bc95b1d44e857c2af2faf50415b26aad77717aaee98ea3c55667c6115b,1,False,L_REDSTAR
459c304dd3eddf8cc09d9c497ec3e859158b9005fbbc513d29afa33f5f2d2dd8,l_SW_C11_CORE_A_SW_FACTORY_CORE_A,FG_06568b5371ab158081bb29ccd20d9f95b0754db42fac7b74225982fc5ae60194,1,False,L_REDSTAR
460de9ce2988997b7789dd916311d22f91a834647a6bdd8b21afe98d8804188b,l_SW_C15_CORE_A_SW_C15_M03_ACT,FG_567bc705ba0279ef58ccaa1e5092a901d49e1ca79a4f613242ea32a5da291a1d,1,False,L_REDSTAR
467dfc362a967daf6665d20870f00f013fa41270245eb7a7d4db051350cdf10f,l_SW_C14_CC_SW_C14_CORE_B;l_SW_C14_CORE_B_SW_FACTORY_CORE_A,FG_6989c6e080aeba714ac6c745ba1efe2171da86d0ea456b0d67b922a3811fa790,2,True,L_REDSTAR
480f1d6377186eadf6e7387b3800b78008fbb1f6e16b635dededd61aef1961e8,l_SW_C16_CORE_A_SW_FACTORY_CORE_A,FG_870a16f50a3d0f37325c810d37e74aa7b44e73ce694bdca16df41d9c557677db,1,False,L_REDSTAR
4a7484d70046631fe2dc1dcff70d9d15cc9ccd5c07fbb9f24ae7a2cef2aafcc6,l_SW_C01_CORE_B_SW_C01_M01_CTRL;l_SW_C01_CORE_B_SW_C01_M01_SENS,FG_b08e6a2cde6f306a68519182b2cadb69c6cd51dfb8738ea0cb056e1153e55d2e,2,True,L_REDSTAR
