case_id,scenario,switch_count,case_type,policy_id,tt_flow_count,controlled_hop_count,total_symbolic_var_count,total_hard_constraint_count,non_overlap_constraint_count,contention_pair_count,max_flows_per_egress,z3_check_wall_ms,status,repeat_count
structured40_auto:PF:l_sw01_sw02,structured40_auto,40,PF,,40,164,165,745,172,172,7,519.637336,SAT,1
structured40_auto:PF:l_sw01_sw09,structured40_auto,40,PF,,40,170,171,750,159,159,6,544.80448,SAT,1
structured40_auto:PF:l_sw01_sw11,structured40_auto,40,PF,,40,166,167,750,171,171,7,527.0040740000001,SAT,1
structured40_auto:PF:l_sw02_sw03,structured40_auto,40,PF,,40,164,165,736,163,163,6,800.361207,SAT,1
structured40_auto:PF:l_sw03_sw04,structured40_auto,40,PF,,40,164,165,750,177,177,7,518.190704,SAT,1
structured40_auto:PF:l_sw03_sw11,structured40_auto,40,PF,,40,168,169,765,180,180,7,543.124743,SAT,1
structured40_auto:PF:l_sw04_sw05,structured40_auto,40,PF,,40,164,165,753,180,180,7,521.1761750000001,SAT,1
structured40_auto:PF:l_sw05_sw06,structured40_auto,40,PF,,40,164,165,746,173,173,7,525.0819799999999,SAT,1
structured40_auto:PF:l_sw05_sw13,structured40_auto,40,PF,,40,168,169,761,176,176,7,538.1843779999999,SAT,1
structured40_auto:PF:l_sw05_sw15,structured40_auto,40,PF,,40,166,167,753,174,174,7,547.069383,SAT,1
structured40_auto:PF:l_sw06_sw07,structured40_auto,40,PF,,40,164,165,753,180,180,7,519.674382,SAT,1
structured40_auto:PF:l_sw07_sw15,structured40_auto,40,PF,,40,170,171,777,186,186,7,550.7384159999999,SAT,1
structured40_auto:PF:l_sw09_sw17,structured40_auto,40,PF,,40,176,177,762,153,153,6,581.7885670000001,SAT,1
structured40_auto:PF:l_sw11_sw12,structured40_auto,40,PF,,40,164,165,746,173,173,7,520.709848,SAT,1
structured40_auto:PF:l_sw11_sw19,structured40_auto,40,PF,,40,176,177,793,184,184,7,586.937001,SAT,1
structured40_auto:PF:l_sw12_sw13,structured40_auto,40,PF,,40,164,165,742,169,169,7,515.2643569999999,SAT,1
structured40_auto:PF:l_sw13_sw21,structured40_auto,40,PF,,40,172,173,775,178,178,7,566.119314,SAT,1
structured40_auto:PF:l_sw15_sw23,structured40_auto,40,PF,,40,178,179,813,198,198,7,613.4242770000001,SAT,1
structured40_auto:PF:l_sw17_sw18,structured40_auto,40,PF,,40,164,165,748,175,175,7,521.488858,SAT,1
structured40_auto:PF:l_sw17_sw25,structured40_auto,40,PF,,40,178,179,758,143,143,6,588.546518,SAT,1
structured40_auto:PF:l_sw18_sw19,structured40_auto,40,PF,,40,164,165,746,173,173,7,523.9028500000001,SAT,1
structured40_auto:PF:l_sw19_sw27,structured40_auto,40,PF,,40,172,173,760,163,163,7,558.96928,SAT,1
structured40_auto:PF:l_sw19_sw29,structured40_auto,40,PF,,40,168,169,766,181,181,7,542.783906,SAT,1
structured40_auto:PF:l_sw21_sw22,structured40_auto,40,PF,,40,164,165,748,175,175,7,518.716878,SAT,1
structured40_auto:PF:l_sw21_sw29,structured40_auto,40,PF,,40,172,173,781,184,184,7,563.256224,SAT,1
structured40_auto:PF:l_sw22_sw23,structured40_auto,40,PF,,40,164,165,746,173,173,7,519.2775809999999,SAT,1
structured40_auto:PF:l_sw23_sw25,structured40_auto,40,PF,,40,176,177,742,133,133,5,709.536791,SAT,1
structured40_auto:PF:l_sw23_sw31,structured40_auto,40,PF,,40,176,177,760,151,151,5,577.344944,SAT,1
structured40_auto:PF:l_sw25_sw33,structured40_auto,40,PF,,40,170,171,745,154,154,6,544.78872,SAT,1
structured40_auto:PF:l_sw27_sw35,structured40_auto,40,PF,,40,168,169,747,162,162,7,535.262488,SAT,1
structured40_auto:PF:l_sw29_sw37,structured40_auto,40,PF,,40,170,171,752,161,161,7,550.520542,SAT,1
structured40_auto:PF:l_sw31_sw39,structured40_auto,40,PF,,40,170,171,748,157,157,6,543.7304800000001,SAT,1
structured40_auto:SHARED:J020:05053e23a7b8c138,structured40_auto,40,SHARED,J020,40,164,165,742,169,169,7,511.08564199999995,SAT,1
structured40_auto:SHARED:J020:07ea48b4886dd1e4,structured40_auto,40,SHARED,J020,40,178,179,789,174,174,7,603.8669610000001,SAT,1
structured40_auto:SHARED:J020:0fd594162e2ef1d7,structured40_auto,40,SHARED,J020,40,168,169,750,165,165,7,543.104283,SAT,1
structured40_auto:SHARED:J020:295034074a6192ad,structured40_auto,40,SHARED,J020,40,176,177,751,142,142,5,849.36478,SAT,1
structured40_auto:SHARED:J020:3b2a7841618410db,structured40_auto,40,SHARED,J020,40,164,165,748,175,175,7,520.942753,SAT,1
structured40_auto:SHARED:J020:5331421013021212,structured40_auto,40,SHARED,J020,40,164,165,753,180,180,7,521.0638,SAT,1
structured40_auto:SHARED:J020:5adb5d1015736931,structured40_auto,40,SHARED,J020,40,174,175,775,172,172,7,576.6641179999999,SAT,1
structured40_auto:SHARED:J020:69c9b0afff3dcb14,structured40_auto,40,SHARED,J020,40,172,173,775,178,178,7,563.957927,SAT,1
structured40_auto:SHARED:J020:840f3d337674c80d,structured40_auto,40,SHARED,J020,40,178,179,813,198,198,7,603.224627,SAT,1
