density,fixed_release,fixed_release_parity,flow_id,flow_kind,frame_size,frame_size_parity,frames_per_hyper_cycle,parity_pass,period_parity,period_ticks,relative_deadline_parity,relative_deadline_ticks,release_offset_parity,release_offset_ticks,scenario,transmission_ticks,transmission_ticks_parity,upstream_input
D070,True,True,IC_PREV_CC_C05,InterCellPrevious,5875,True,1,True,True,80000,True,60000,True,9175,M_RING,47,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,IC_PREV_CC_C06,InterCellPrevious,5875,True,1,True,True,80000,True,60000,True,3162,M_RING,47,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,IC_PREV_CC_C08,InterCellPrevious,5875,True,1,True,True,80000,True,60000,True,207,M_RING,47,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,SC_S1_C01_M02,SensorCyclic,2000,True,4,True,True,20000,True,15000,True,2255,M_RING,16,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,SC_S1_C02_M01,SensorCyclic,2000,True,4,True,True,20000,True,15000,True,3267,M_RING,16,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,SC_S1_C02_M03,SensorCyclic,2000,True,4,True,True,20000,True,15000,True,3451,M_RING,16,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,SC_S1_C03_M03,SensorCyclic,2000,True,4,True,True,20000,True,15000,True,1861,M_RING,16,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,SC_S1_C04_M01,SensorCyclic,2000,True,4,True,True,20000,True,15000,True,2959,M_RING,16,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,SC_S1_C04_M02,SensorCyclic,2000,True,4,True,True,20000,True,15000,True,573,M_RING,16,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,SC_S1_C05_M02,SensorCyclic,2000,True,4,True,True,20000,True,15000,True,1997,M_RING,16,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,SC_S1_C05_M03,SensorCyclic,2000,True,4,True,True,20000,True,15000,True,3142,M_RING,16,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,SC_S1_C06_M01,SensorCyclic,2000,True,4,True,True,20000,True,15000,True,1909,M_RING,16,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,SC_S1_C06_M02,SensorCyclic,2000,True,4,True,True,20000,True,15000,True,2117,M_RING,16,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
