HNF_count,HNF_set_sha,backend,density_tag,repeat,rho_den,rho_num,scenario
0,37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570,H2S,D070,1,10,7,M_REDSTAR
0,37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570,H2S,D070,2,10,7,M_REDSTAR
0,37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570,H2S,D070,1,10,7,M_ROR
0,37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570,H2S,D070,2,10,7,M_ROR
8,5ecc19fa98e213f57f157949be142be206ec35d49583b446e0a9d9a7d49b7a57,H2S,D070,1,10,7,L_RING
8,5ecc19fa98e213f57f157949be142be206ec35d49583b446e0a9d9a7d49b7a57,CELF,D070,1,10,7,L_RING
8,5ecc19fa98e213f57f157949be142be206ec35d49583b446e0a9d9a7d49b7a57,H2S,D070,2,10,7,L_RING
8,5ecc19fa98e213f57f157949be142be206ec35d49583b446e0a9d9a7d49b7a57,CELF,D070,2,10,7,L_RING
8,5ecc19fa98e213f57f157949be142be206ec35d49583b446e0a9d9a7d49b7a57,H2S,D070,1,10,7,L_REDSTAR
8,5ecc19fa98e213f57f157949be142be206ec35d49583b446e0a9d9a7d49b7a57,CELF,D070,1,10,7,L_REDSTAR
8,5ecc19fa98e213f57f157949be142be206ec35d49583b446e0a9d9a7d49b7a57,H2S,D070,2,10,7,L_REDSTAR
8,5ecc19fa98e213f57f157949be142be206ec35d49583b446e0a9d9a7d49b7a57,CELF,D070,2,10,7,L_REDSTAR
8,5ecc19fa98e213f57f157949be142be206ec35d49583b446e0a9d9a7d49b7a57,H2S,D070,1,10,7,L_ROR
8,5ecc19fa98e213f57f157949be142be206ec35d49583b446e0a9d9a7d49b7a57,CELF,D070,1,10,7,L_ROR
8,5ecc19fa98e213f57f157949be142be206ec35d49583b446e0a9d9a7d49b7a57,H2S,D070,2,10,7,L_ROR
8,5ecc19fa98e213f57f157949be142be206ec35d49583b446e0a9d9a7d49b7a57,CELF,D070,2,10,7,L_ROR
0,37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570,H2S,D060,1,5,3,M_RING
0,37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570,H2S,D060,2,5,3,M_RING
0,37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570,H2S,D060,1,5,3,M_REDSTAR
0,37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570,H2S,D060,2,5,3,M_REDSTAR
0,37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570,H2S,D060,1,5,3,M_ROR
0,37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570,H2S,D060,2,5,3,M_ROR
6,dacc7450cc50673cb34b459f84f816dff297f86f6952b3c84bf80d651d146427,H2S,D060,1,5,3,L_RING
6,dacc7450cc50673cb34b459f84f816dff297f86f6952b3c84bf80d651d146427,CELF,D060,1,5,3,L_RING
6,dacc7450cc50673cb34b459f84f816dff297f86f6952b3c84bf80d651d146427,H2S,D060,2,5,3,L_RING
6,dacc7450cc50673cb34b459f84f816dff297f86f6952b3c84bf80d651d146427,CELF,D060,2,5,3,L_RING
